Course,Enroll,GPA,yearly_num,dept,num,index
COMM 10,1179,3.4700932994062765,750,COMM,10,0
COMM 20,40,3.2599999999999993,70,COMM,20,1
COMM 30,51,3.6788235294117646,29,COMM,30,2
COMM 100A,515,3.6282524271844654,253,COMM,100,3
COMM 100B,224,3.36,252,COMM,100,4
COMM 100C,538,3.1604089219330853,249,COMM,100,5
COMM 101,219,3.770776255707762,129,COMM,101,6
COMM 101K,25,4.0,58,COMM,101,7
COMM 101T,65,3.707384615384615,45,COMM,101,8
COMM 102C,22,3.43,19,COMM,102,9
COMM 102M,22,3.9,22,COMM,102,10
COMM 103D,42,3.59,42,COMM,103,11
COMM 104G,31,3.11,64,COMM,104,12
COMM 106C,28,3.3,28,COMM,106,13
COMM 106D,29,3.67,41,COMM,106,14
COMM 106E,70,3.7848571428571427,70,COMM,106,15
COMM 106G,84,3.8611904761904765,84,COMM,106,16
COMM 106I,95,3.5,198,COMM,106,17
COMM 106T,84,3.25,71,COMM,106,18
COMM 106V,35,3.09,35,COMM,106,19
COMM 107,69,3.5165217391304346,21,COMM,107,20
COMM 108D,32,3.99,63,COMM,108,21
COMM 108G,61,3.6304918032786886,31,COMM,108,22
COMM 109D,144,3.565,176,COMM,109,23
COMM 109I,23,3.3,23,COMM,109,24
COMM 109N,79,3.19126582278481,34,COMM,109,25
COMM 110G,174,3.8446551724137934,56,COMM,110,26
COMM 111B,24,3.14,51,COMM,111,27
COMM 111G,82,3.27,82,COMM,111,28
COMM 111P,58,3.336206896551724,36,COMM,111,29
COMM 113T,177,3.506949152542373,55,COMM,113,30
COMM 124A,114,3.522368421052631,49,COMM,124,31
COMM 124B,21,3.75,21,COMM,124,32
COMM 126,21,3.52,21,COMM,126,33
COMM 127,25,3.78,25,COMM,127,34
COMM 131,120,3.501333333333333,38,COMM,131,35
COMM 134,113,3.333362831858407,38,COMM,134,36
COMM 143,30,3.28,30,COMM,143,37
COMM 146,202,3.7958910891089106,160,COMM,146,38
COMM 158,38,3.47,24,COMM,158,39
COMM 159,78,3.7034615384615384,45,COMM,159,40
COMM 166,30,3.6600000000000006,30,COMM,166,41
COMM 171,92,3.3584782608695654,33,COMM,171,42
COMM 172,24,3.35,24,COMM,172,43
COMM 175,56,3.9,56,COMM,175,44
COMM 177,55,3.6201818181818184,29,COMM,177,45
COMM 181,27,3.92,27,COMM,181,46
COMM 182,64,3.4749999999999996,32,COMM,182,47
COMM 190,343,3.6081341107871716,193,COMM,190,48
