Course,Enroll,GPA,yearly_num,dept,num,index
MUS 1A,556,3.80296762589928,284,MUS,1,0
MUS 1B,183,3.695081967213115,87,MUS,1,1
MUS 1C,95,3.679789473684211,39,MUS,1,2
MUS 2A,68,3.456470588235294,31,MUS,2,3
MUS 2B,55,3.9410909090909088,28,MUS,2,4
MUS 2C,50,3.8895999999999997,22,MUS,2,5
MUS 4,1197,3.7544444444444443,573,MUS,4,6
MUS 5,579,3.7352504317789292,245,MUS,5,7
MUS 5R,123,3.84,123,MUS,5,8
MUS 6,206,3.9238834951456307,94,MUS,6,9
MUS 8,281,3.7467615658362985,144,MUS,8,10
MUS 9,262,3.7093893129770996,139,MUS,9,11
MUS 11,341,3.891876832844575,135,MUS,11,12
MUS 12,319,3.5730721003134795,159,MUS,12,13
MUS 13,383,3.3484595300261097,199,MUS,13,14
MUS 15,1421,3.784623504574244,685,MUS,15,15
MUS 17,1533,3.6995238095238094,675,MUS,17,16
MUS 19R,637,3.8882731554160124,446,MUS,19,17
MUS 20,131,3.850076335877863,56,MUS,20,18
MUS 95C,32,3.85,32,MUS,95,19
MUS 95E,188,4.0,143,MUS,95,20
MUS 95JC,132,4.0,84,MUS,95,21
MUS 95L,180,4.0,140,MUS,95,22
MUS 95W,281,3.8796797153024913,193,MUS,95,23
MUS 101A,54,3.5596296296296295,25,MUS,101,24
MUS 101B,47,2.9821276595744686,21,MUS,101,25
MUS 101C,48,3.58,24,MUS,101,26
MUS 111,333,3.7998798798798803,348,MUS,111,27
MUS 113,84,3.4839285714285713,57,MUS,113,28
MUS 114,773,3.741216041397154,378,MUS,114,29
MUS 120A,62,3.843225806451613,24,MUS,120,30
MUS 120B,24,3.34,24,MUS,120,31
MUS 120C,31,3.83,31,MUS,120,32
MUS 126R,128,3.75,128,MUS,126,33
MUS 127,303,3.7713861386138614,102,MUS,127,34
MUS 130,135,3.9703703703703703,110,MUS,130,35
MUS 137A,52,3.6882692307692313,21,MUS,137,36
MUS 137B,46,4.0,22,MUS,137,37
MUS 171,146,3.4341095890410958,38,MUS,171,38
MUS 172,73,3.477808219178082,73,MUS,172,39
MUS 173,60,3.9853333333333336,28,MUS,173,40
MUS 174A,58,3.746896551724138,32,MUS,174,41
MUS 174B,56,3.8214285714285716,32,MUS,174,42
MUS 174C,22,3.97,22,MUS,174,43
MUS 175,49,3.243061224489796,24,MUS,175,44
