Course,Enroll,GPA,yearly_num,dept,num,index
BIEB 102,2968,2.946701482479784,395,BIEB,102,0
BIEB 121,833,3.616278511404562,91,BIEB,121,1
BIEB 123,317,3.3912933753943215,35,BIEB,123,2
BIEB 126,1117,2.7567681289167414,153,BIEB,126,3
BIEB 128,812,2.8565640394088665,76,BIEB,128,4
BIEB 130,658,3.4827051671732523,186,BIEB,130,5
BIEB 134,573,2.8816230366492146,64,BIEB,134,6
BIEB 140,2019,2.773427439326399,134,BIEB,140,7
BIEB 143,349,3.407650429799427,44,BIEB,143,8
BIEB 146,1647,3.6540801457194902,644,BIEB,146,9
BIEB 150,3479,2.953176200057488,207,BIEB,150,10
BIEB 152,2090,3.358023923444976,407,BIEB,152,11
BIEB 154,214,3.1126168224299064,40,BIEB,154,12
BIEB 166,3283,3.0546420956442275,187,BIEB,166,13
BIEB 174,2030,3.214088669950739,186,BIEB,174,14
BIEB 182,45,3.1646666666666667,24,BIEB,182,15
