Course,GPA,yearly_num,dept,num,index
JAPN 10A,3.5689389687828834,522,JAPN,10,0
JAPN 10B,3.500339805825243,339,JAPN,10,1
JAPN 10C,3.6057611861265553,318,JAPN,10,2
JAPN 20A,3.567214765100671,240,JAPN,20,3
JAPN 20B,3.589620034542314,116,JAPN,20,4
JAPN 20C,3.607986486486486,93,JAPN,20,5
JAPN 130A,3.634720812182741,57,JAPN,130,6
JAPN 130B,3.683481012658228,37,JAPN,130,7
JAPN 130C,3.700149253731343,32,JAPN,130,8
JAPN 135A,3.79537037037037,29,JAPN,135,9
JAPN 135B,3.8349999999999995,28,JAPN,135,10
JAPN 135C,3.83,27,JAPN,135,11
JAPN 140A,3.4361904761904762,22,JAPN,140,12
JAPN 190,3.62566265060241,39,JAPN,190,13
