Course,Enroll,GPA,yearly_num,dept,num,index
NANO 11,85,3.625764705882353,48,NANO,11,0
NANO 15,1250,3.364168,124,NANO,15,1
NANO 20L,29,3.68,30,NANO,20,2
NANO 100L,165,3.6350909090909087,20,NANO,100,3
NANO 102,783,2.9060536398467436,46,NANO,102,4
NANO 103,695,3.3469784172661874,24,NANO,103,5
NANO 104,706,3.1148016997167143,51,NANO,104,6
NANO 106,530,3.0055849056603776,21,NANO,106,7
NANO 107,453,3.1066004415011035,29,NANO,107,8
NANO 108,867,3.0570011534025374,139,NANO,108,9
NANO 110,634,3.0903943217665613,58,NANO,110,10
NANO 111,690,3.373608695652174,58,NANO,111,11
NANO 112,605,3.459785123966942,64,NANO,112,12
NANO 114,20,3.7599999999999993,19,NANO,114,13
NANO 117,50,3.2924,24,NANO,117,14
NANO 120A,1021,3.41900097943193,56,NANO,120,15
NANO 120B,1036,3.5619401544401543,54,NANO,120,16
NANO 134,328,3.2054878048780484,29,NANO,134,17
NANO 148,438,3.4667808219178085,51,NANO,148,18
NANO 156,645,3.5431317829457365,74,NANO,156,19
NANO 174,28,3.34,16,NANO,174,20
NANO 175,99,3.6959595959595957,24,NANO,175,21
