Course,Enroll,GPA,yearly_num,dept,num,index
CENG 15,137,3.167007299270073,25,CENG,15,0
CENG 15R,100,3.1803,100,CENG,15,1
CENG 100,231,2.909090909090909,119,CENG,100,2
CENG 101A,326,3.1383435582822083,164,CENG,101,3
CENG 101B,221,3.117918552036199,98,CENG,101,4
CENG 101C,241,3.0637759336099584,94,CENG,101,5
CENG 102,228,3.0003947368421056,119,CENG,102,6
CENG 113,218,3.1659633027522935,116,CENG,113,7
CENG 114,186,3.2949999999999995,93,CENG,114,8
CENG 120,230,3.232347826086957,94,CENG,120,9
CENG 122,231,3.29034632034632,92,CENG,122,10
CENG 124A,228,3.7568421052631575,91,CENG,124,11
CENG 124B,239,3.913389121338912,137,CENG,124,12
CENG 134,123,3.001707317073171,45,CENG,134,13
CENG 170,41,3.01,41,CENG,170,14
CENG 175,24,3.33,24,CENG,175,15
CENG 176A,226,3.453805309734513,92,CENG,176,16
CENG 176B,236,3.403135593220339,134,CENG,176,17
